,linesRemove,Freq,class,city,p,medianDocMidDist
1000,download the new gola app,7,1,California_Los Angeles,0.000192859,0.116438356
2625,rt citylajobs want a job as good as the first eight seasons of scrubs the city of los angeles is now hiring medical assistants,11,0,California_Los Angeles,0.000303064,0.282051282
1314,for visitors,865,1,California_Los Angeles,0.023831827,0.19
3316,translate,431,1,California_Los Angeles,0.011874587,0.41025641
2844,take the chief of police qualities survey your opinion counts,248,0,California_Los Angeles,0.006832709,0.192307692
1701,la city tweets,431,1,California_Los Angeles,0.011874587,0.230769231
69,a free automated system used to send out alerts to the public about emergency and critical incidents notifyla can reach the public via recorded telephone messages text messages and emails,2,0,California_Los Angeles,5.51E-05,0.049450549
554,channel,863,1,California_Los Angeles,0.023776725,0.141791045
1699,la city construction matchmaking event,7,0,California_Los Angeles,0.000192859,0.114285714
2659,search form,431,1,California_Los Angeles,0.011874587,0.175324675
1672,jump to the footer,431,1,California_Los Angeles,0.011874587,0.448717949
467,by los angeles police department on,12,1,California_Los Angeles,0.000330615,0.057088285
1187,find jobs,867,1,California_Los Angeles,0.02388693,0.176923077
653,clase si hay objeciones el tribunal las en ese momento de la audiencia el tribunal,1,0,California_Los Angeles,2.76E-05,0.352459016
1277,for more information go to,6,1,California_Los Angeles,0.000165307,0.132911392
514,call or,431,1,California_Los Angeles,0.011874587,0.41025641
1299,for residents,867,1,California_Los Angeles,0.02388693,0.21875
2656,search,1729,1,California_Los Angeles,0.047636103,0.26119403
383,blogs,241,1,California_Los Angeles,0.00663985,0.02
65,affordable housing commission meeting,2,0,California_Los Angeles,5.51E-05,0.017647059
2666,select an app icon to launch it,2,1,California_Los Angeles,5.51E-05,0.309090909
1779,lausd students who began classes in the fall and graduate in will be the first to qualify for the college promise which guarantees admission and a year of tuition free education on one of the nine campuses in the los angeles community college district the college promise will provide students with resources and support that ranges from tutoring and mentoring programs to financial literacy workshops,2,0,California_Los Angeles,5.51E-05,0.022222222
3181,the terminal connector not only makes lax more accommodating for travelers it also displays our dedication to building environmentally friendly infrastructure said city councilmember bob blumenfield who chairs the innovation grants technology commerce and trade committee it sets a powerful precedent for future projects to uphold the same green standards and increase energy conservation,2,0,California_Los Angeles,5.51E-05,0.097701149
773,council directory,42,1,California_Los Angeles,0.001157152,0.31294964
3381,utulizando la horario de juntas o descargar la aplicacion app,1,0,California_Los Angeles,2.76E-05,0.3
974,disclaimer,433,1,California_Los Angeles,0.011929689,0.448717949
3283,top,431,1,California_Los Angeles,0.011874587,0.5
1449,home,1294,1,California_Los Angeles,0.035651311,0.14556962
3221,through a collaboration with our partners on the local and federal level we have created an annual tradition to bring more people to the los angeles river said councilmember who represents the elysian valley neighborhood where the glendale narrows is located this is a great opportunity for angelenos to get on the water enjoy the wildlife experience the potential and enjoy nature near the birthplace of our great city,2,0,California_Los Angeles,5.51E-05,0.117283951
369,best weekly news show la this week,2,1,California_Los Angeles,5.51E-05,0.033333333
3501,what if my battery dies,2,1,California_Los Angeles,5.51E-05,0.110526316
1960,mayor eric garcetti announces plan for a resilient los angeles,248,0,California_Los Angeles,0.006832709,0.179487179
345,back to top,21,1,California_Los Angeles,0.000578576,0.085714286
1202,first and foremost we want to thank the public for your patience in dealing with the street closures resulting fro,230,0,California_Los Angeles,0.006336786,0.294871795
978,discuss inclusion and race at embrace dinners,248,0,California_Los Angeles,0.006832709,0.166666667
1393,gross mismanagement of resources including careless expenditures,2,0,California_Los Angeles,5.51E-05,0.126666667
3411,view more public notices,431,1,California_Los Angeles,0.011874587,0.371794872
3331,tweets by mayorofla,431,1,California_Los Angeles,0.011874587,0.256410256
1306,for the latest information on the la tuna canyon fire and instructions on what to do if you live in the affected area go to,2,0,California_Los Angeles,5.51E-05,0.1
2765,somewhat,4,1,California_Los Angeles,0.000110205,0.128571429
2727,sign up for notifyla,5,1,California_Los Angeles,0.000137756,0.109090909
638,city services,1295,1,California_Los Angeles,0.035678863,0.205128205
2683,service feedback form,2,1,California_Los Angeles,5.51E-05,0.042857143
3430,visitors,431,1,California_Los Angeles,0.011874587,0.346153846
2446,professional clothing drive for homeless lgbtq youth,7,0,California_Los Angeles,0.000192859,0.064102564
2149,n spring st los angeles ca,431,1,California_Los Angeles,0.011874587,0.397435897
3387,various locations,2,1,California_Los Angeles,5.51E-05,0.320197044
2007,menu,862,1,California_Los Angeles,0.023749173,0.365671642
1247,for business,868,1,California_Los Angeles,0.023914481,0.204503676
89,airport police specialist,2,1,California_Los Angeles,5.51E-05,0.134980892
258,art culture,2,1,California_Los Angeles,5.51E-05,0.268361582
911,departments bureaus,48,1,California_Los Angeles,0.00132246,0.217588795
1801,learn more on our frequently asked questions page,3,1,California_Los Angeles,8.27E-05,0.18115942
1657,jobs,431,1,California_Los Angeles,0.011874587,0.333333333
3412,view more tweets,431,1,California_Los Angeles,0.011874587,0.307692308
711,como el de el salvador el libro el principito,234,0,California_Los Angeles,0.006446991,0.282051282
1983,mayor garcetti directed his innovation team to design build test and launch that platform during the process the office collaborated closely with the city of san francisco which launched its own award winning portal in setting an example for how cities can share resources toward mutually beneficial progress,2,0,California_Los Angeles,5.51E-05,0.05
1670,jump to navigation,431,1,California_Los Angeles,0.011874587,0.487179487
771,council committees,44,1,California_Los Angeles,0.001212255,0.224550898
804,council rules,49,1,California_Los Angeles,0.001350011,0.18707483
916,dept of recreation parks,13,1,California_Los Angeles,0.000358166,0.268361582
2418,pothole small asphalt repair,1,1,California_Los Angeles,2.76E-05,0.257575758
1696,la city awards,431,1,California_Los Angeles,0.011874587,0.384615385
1673,jump to the site map,431,1,California_Los Angeles,0.011874587,0.461538462
2084,neighborhood councils,43,1,California_Los Angeles,0.001184704,0.241007194
2174,offer comment on the housing and community investment decision to release funds for the florence mills apartments,434,0,California_Los Angeles,0.01195724,0.346153846
1851,los angeles,468,1,California_Los Angeles,0.012893983,0.435064935
1448,hollyhock curator jeffrey herr says the video tour will utilize three dimensional camera work and provide a near virtual view due to the camera angle helping people navigate through the house as if they are on a tour,2,0,California_Los Angeles,5.51E-05,0.090361446
210,anterior a la fecha del acuerdo de la durante la vigencia del,1,0,California_Los Angeles,2.76E-05,0.090163934
534,celebrate african american heritage month,248,0,California_Los Angeles,0.006832709,0.217948718
2094,news dtla merchants selling counterfeit phone chargers because these pose a significant shock fire hazard,193,0,California_Los Angeles,0.00531739,0.276315789
1446,history of los angeles,56,1,California_Los Angeles,0.00154287,0.176357335
3310,toy reuse drive flyer,2,1,California_Los Angeles,5.51E-05,0.084415584
421,business,433,1,California_Los Angeles,0.011929689,0.358974359
